body;position_x;position_y;position_z;velocity_x;velocity_y;velocity_z;mass
sun;0.00565544;-0.00492064;-0.000145508;0.00195213;-0.0013081;-2.61881e-05;39.4784
jupiter;2.1088;4.56269;-0.0662817;-2.53978;1.29436;0.0513972;0.0376937
saturn;1.68153;-9.94128;0.105081;1.89432;0.335566;-0.0812915;0.0112863
uranus;-17.2261;6.51645;0.247325;-0.516771;-1.40345;0.00151066;0.00172372
neptune;18.7441;23.2584;-0.909695;-0.896148;0.729842;0.00560362;0.00203369
